time,104 GtCO2 temporary storage vs. permanent removal,200 GtCO2 temporary storage vs. permanent removal,296 GtCO2 temporary storage vs. permanent removal
2175.5,-3.3007812,-6.4179688,-9.7265625
2176.5,-3.3007812,-6.4335938,-9.738281
2177.5,-3.3085938,-6.4375,-9.753906
2178.5,-3.3085938,-6.4453125,-9.765625
2179.5,-3.3164062,-6.4492188,-9.777344
2180.5,-3.3203125,-6.4570312,-9.7890625
2181.5,-3.3242188,-6.4648438,-9.800781
2182.5,-3.3242188,-6.4726562,-9.8125
2183.5,-3.3320312,-6.4765625,-9.824219
2184.5,-3.3320312,-6.484375,-9.832031
2185.5,-3.3398438,-6.4882812,-9.84375
2186.5,-3.3398438,-6.5,-9.855469
2187.5,-3.34375,-6.5039062,-9.8671875
2188.5,-3.34375,-6.5117188,-9.875
2189.5,-3.3476562,-6.5117188,-9.886719
2190.5,-3.34375,-6.515625,-9.8984375
2191.5,-3.3515625,-6.5195312,-9.910156
2192.5,-3.3515625,-6.5234375,-9.9140625
2193.5,-3.3554688,-6.5273438,-9.921875
2194.5,-3.3554688,-6.5351562,-9.9296875
2195.5,-3.359375,-6.5351562,-9.9375
2196.5,-3.359375,-6.5429688,-9.9453125
2197.5,-3.3632812,-6.5429688,-9.949219
2198.5,-3.359375,-6.546875,-9.957031
2199.5,-3.3632812,-6.546875,-9.9609375
2200.5,-3.3671875,-6.5507812,-9.964844
2201.5,-3.3671875,-6.5507812,-9.96875
2202.5,-3.3671875,-6.5585938,-9.972656
2203.5,-3.3710938,-6.5546875,-9.980469
2204.5,-3.3671875,-6.5585938,-9.984375
2205.5,-3.3710938,-6.5625,-9.984375
2206.5,-3.3671875,-6.5664062,-9.9921875
2207.5,-3.375,-6.5625,-9.9921875
2208.5,-3.3710938,-6.5664062,-9.996094
2209.5,-3.375,-6.5664062,-10.0
2210.5,-3.375,-6.5703125,-10.0
2211.5,-3.3789062,-6.5703125,-10.003906
2212.5,-3.3789062,-6.578125,-10.0078125
2213.5,-3.3828125,-6.578125,-10.0078125
2214.5,-3.3789062,-6.5820312,-10.011719
2215.5,-3.3867188,-6.5859375,-10.015625
2216.5,-3.3867188,-6.59375,-10.0234375
2217.5,-3.390625,-6.59375,-10.027344
2218.5,-3.390625,-6.6054688,-10.035156
2219.5,-3.3945312,-6.609375,-10.042969
2220.5,-3.3984375,-6.6210938,-10.050781
2221.5,-3.40625,-6.625,-10.0546875
2222.5,-3.4101562,-6.6328125,-10.066406
2223.5,-3.4140625,-6.6367188,-10.0703125
2224.5,-3.4140625,-6.6445312,-10.0859375
2225.5,-3.421875,-6.6484375,-10.09375
2226.5,-3.421875,-6.65625,-10.097656
2227.5,-3.4257812,-6.6601562,-10.109375
2228.5,-3.4296875,-6.671875,-10.113281
2229.5,-3.4335938,-6.671875,-10.125
2230.5,-3.4375,-6.6796875,-10.1328125
2231.5,-3.4375,-6.6835938,-10.136719
2232.5,-3.4414062,-6.6914062,-10.144531
2233.5,-3.4492188,-6.6914062,-10.152344
2234.5,-3.453125,-6.703125,-10.1640625
2235.5,-3.4570312,-6.7070312,-10.167969
2236.5,-3.4609375,-6.7148438,-10.1796875
2237.5,-3.46875,-6.71875,-10.1875
2238.5,-3.46875,-6.7304688,-10.199219
2239.5,-3.4765625,-6.734375,-10.2109375
2240.5,-3.4804688,-6.7460938,-10.21875
2241.5,-3.4882812,-6.7460938,-10.230469
2242.5,-3.4882812,-6.7578125,-10.246094
2243.5,-3.5,-6.765625,-10.2578125
2244.5,-3.5,-6.7734375,-10.2734375
2245.5,-3.5078125,-6.7773438,-10.285156
2246.5,-3.5117188,-6.7890625,-10.296875
2247.5,-3.515625,-6.796875,-10.308594
2248.5,-3.5234375,-6.8046875,-10.316406
2249.5,-3.53125,-6.8125,-10.332031
2250.5,-3.5351562,-6.828125,-10.34375
2251.5,-3.5429688,-6.8320312,-10.359375
2252.5,-3.5429688,-6.84375,-10.371094
2253.5,-3.5507812,-6.8515625,-10.3828125
2254.5,-3.5546875,-6.859375,-10.3984375
2255.5,-3.5664062,-6.8671875,-10.40625
2256.5,-3.5703125,-6.875,-10.417969
2257.5,-3.5742188,-6.8867188,-10.425781
2258.5,-3.5820312,-6.8945312,-10.441406
2259.5,-3.5859375,-6.9023438,-10.453125
2260.5,-3.5898438,-6.9140625,-10.464844
2261.5,-3.59375,-6.921875,-10.472656
2262.5,-3.6015625,-6.9335938,-10.488281
2263.5,-3.6054688,-6.9375,-10.5
2264.5,-3.6132812,-6.9492188,-10.5078125
2265.5,-3.6171875,-6.9570312,-10.5234375
2266.5,-3.625,-6.96875,-10.535156
2267.5,-3.6289062,-6.9765625,-10.546875
2268.5,-3.6328125,-6.984375,-10.558594
2269.5,-3.6484375,-7.0039062,-10.582031
2270.5,-3.6601562,-7.0195312,-10.6015625
2271.5,-3.6679688,-7.0390625,-10.625
2272.5,-3.671875,-7.0546875,-10.644531
2273.5,-3.6796875,-7.0703125,-10.6640625
2274.5,-3.6835938,-7.0742188,-10.683594
2275.5,-3.6875,-7.0859375,-10.699219
2276.5,-3.6914062,-7.0898438,-10.722656
2277.5,-3.6953125,-7.09375,-10.734375
2278.5,-3.6992188,-7.1015625,-10.7421875
2279.5,-3.7070312,-7.1132812,-10.753906
2280.5,-3.7070312,-7.1210938,-10.765625
2281.5,-3.7109375,-7.1289062,-10.777344
2282.5,-3.71875,-7.1367188,-10.7890625
2283.5,-3.71875,-7.1445312,-10.8046875
2284.5,-3.7265625,-7.1523438,-10.8125
2285.5,-3.7304688,-7.1601562,-10.824219
